1910,מייזעל און קא,ניו יארק,גאזאמלטע דראמען. העדדא און אנדערע,"איבסען, הענריק"
1910,מייזל פארלאג,ניו יארק,געזאמלטע דראמען.,"איבסען, הענריק"
,ל. פרידמאן,לאנדאן,ווען מיר טויטע דערוואכן.,"איבסען, הענריק"
1910,מייזל עט קא,ניו יארק,ראזמערסהאלם.,"איבסען, הענריק"
1932,אמעריקע,ניו יארק,אויף ווייטע וועגן,"איגנאטאוו, דוד"
1919,אמעריקא,ניו יארק,אין קעסעלגרוב. ראמאן,"איגנאטאוו, דוד"
,,,גדעון. טראגעדיע אין 22 מגילות,"איגנאטאוו, דוד"
1919,אמעריק,ניו יארק,דאס פארבארגענע ליכט,"איגנאטאוו, דוד"
1939,אמעריקע פארלאג,USA,פאר א נייער וועלט,"איגנאטאוו, דוד"
1918,מ. מייזעל,ניו יארק,צווישן צוויי זונען,"איגנאטאוו, דוד"
1918,מ. מייזעל,ניו יארק,צווישן צוויי זונען,"איגנאטאוו, דוד"
1932,אמעריקע,ניו יארק,אויף ווייטע וועגן,"איגנאטאף, דוד"
1932,אמעריקע,ניו יארק,אויף ווייטע וועגן,"איגנאטאף, דוד"
1937,,ניו יארק,מיאמי ביטש,"איגער, חנן"
1950,יידיש בוך,ווארשע,אויף היימישער ערד,"איוואן, וו. ה."
1922,ארבעטער רינג,ניו יארק,בוכפירונג.,"איווענסקי, מ"
1980,י. ל. פרץ,תל אביב,א וואלפיש אין יפו: דערציילונגען,"איזבאן, שמואל"
1959,יידבוך,בוענאס איירעס,די קעניגין איזבל,"איזבאן, שמואל"
1959,יידבוך,בוענאס איירעס,די קעניגין איזבל,"איזבאן, שמואל"
1955,זריע,מאנטעווידעא,די שטאט פון צארן: ניו יארקער דערציילונגען,"איזבאן, שמואל"
1955,פארלאג יידיש,בוענאס איירעס,די שפעטע יורשים,"איזבאן, שמואל"
1966,יידבוך,בוענאס איירעס,יריחו,"איזבאן, שמואל"
1937,MYOLD PRESS,ניו יארק,מיאמי ביטש,"איזבאן, שמואל"
1942,סקלארסקי,ניו יארק,צווישן הונדערט טויערן,"איזבאן, שמואל"
1936,בערדיטשעווער ברענטש - ארבעטער ארדן,ניו יארק,איך ניי און נייץ,"אייבראמס, וויליאם"
1966,,תל אביב,פון געריכט פון ראבינאט פון גאס,"איידלמאן, דוד"
1953,פאמיליע פארלאג,ניו יארק,ישראל און אירע גלות'ן,"איידעלסבערג, דוד"
1967,,תל אביב,ווי אנדערש,"אייזיקאוויטש, אפרים"
1962,פולי,תל אביב,לידער,"אייזיקאוויטש, אפרים"
1969,פולי,בני ברק,ס'איז מיר באשערט. לידער,"אייזיקאוויטש, אפרים"
1990,,ישראל,אלץ איז אוועק מיטן ווינט,"אייזן, לייב"
1965,דרום-אפריקאנער יידישע קולטור-פעדעראציע,יאהאנעסבורג,געקליבענע לידער און פאעמעס,"אייזן, שרה"
2001,י. ל. פרץ,תל אביב,ביים ראנד פון חלום,"אייזנמאן, צבי"
1996,י. ל. פרץ,תל אביב,בלעטער פון א פארסמאליעטן פנקס,"אייזנמאן, צבי"
1956,יגור,ישראל,די באן,"אייזנמאן, צבי"
,,,יומן קפריסין,"אייזנמאן, צבי"
1965,י. ל. פרץ,תל אביב,מזלות.,"אייזנמאן, צבי"
1983,קיבוץ אלונים,קיבוץ אלונים,נעמט מיך אין לאנד פון פארגעסן,"אייזנמאן, צבי"
1974,הוצאת הקיבוץ המאוחד,ישראל,צווישן גרענעצן,"אייזנמאן, צבי"
1980,עמך,תל אביב,יארן פון פיין און נסיון.,"אייזנער, פ. דרורה"
1970,אויפקום,תל אביב,פיאנערישע געשטאלטן.,"אייזנשטאדט, שמואל"
1964,אייניקייט פארלאג,,די נביאים,"אייזנשטאדט, שמואל דר"
1929,מחבר,ניו יארק,אוצר זכרונותי.,"אייזנשטיין, יהודה דוד"
1925,יידישער ליטעראטן פאראיין,בוענאס איירעס,לידער און פאעמען,"אייזנשטיין, יעקב"
1949,ציקא,ניו יארק,מענטשן פון געטא. דערציילונגען,"אייזען, א"
